2017010100	43	89
2017010101	43	89
2017010102	42	89
2017010103	40	89
2017010104	40	93
2017010105	41	89
2017010106	40	89
2017010107	38	89
2017010108	33	96
2017010109	35	92
2017010110	40	89
2017010111	44	76
2017010112	47	71
2017010113	47	74
2017010114	48	73
2017010115	48	73
2017010116	49	74
2017010117	48	76
2017010118	48	76
2017010119	47	86
2017010120	46	89
2017010121	46	89
2017010122	46	93
2017010123	46	93
2017010200	46	93
2017010201	46	93
2017010202	46	93
2017010203	46	93
2017010204	46	96
2017010205	46	93
2017010206	46	96
2017010207	46	96
2017010208	47	93
2017010209	47	97
2017010210	49	97
2017010211	52	93
2017010212	54	97
2017010213	57	89
2017010214	58	90
2017010215	59	89
2017010216	59	93
2017010217	59	93
2017010218	59	93
2017010219	59	93
2017010220	59	93
2017010221	59	89
2017010222	60	86
2017010223	60	83
2017010300	59	87
2017010301	57	93
2017010302	58	93
2017010303	57	93
2017010304	57	93
2017010305	56	97
2017010306	56	97
2017010307	56	97
2017010308	57	93
2017010309	57	93
2017010310	58	93
2017010311	58	93
2017010312	58	93
2017010313	59	89
2017010314	59	89
2017010315	59	87
2017010316	59	87
2017010317	57	86
2017010318	55	83
2017010319	50	86
2017010320	48	86
2017010321	45	86
2017010322	44	82
2017010323	43	82
2017010400	41	82
2017010401	40	83
2017010402	39	82
2017010403	38	85
2017010404	34	85
2017010405	33	75
2017010406	31	69
2017010407	29	69
2017010408	27	69
2017010409	27	66
2017010410	27	61
2017010411	29	53
2017010412	30	47
2017010413	31	47
2017010414	32	43
2017010415	32	40
2017010416	33	41
2017010417	31	43
2017010418	29	47
2017010419	28	48
2017010420	27	51
2017010421	26	52
2017010422	26	55
2017010423	25	58
2017010500	25	60
2017010501	25	58
2017010502	25	60
2017010503	25	60
2017010504	25	58
2017010505	25	60
2017010506	24	65
2017010507	24	68
2017010508	23	85
2017010509	23	85
2017010510	23	85
2017010511	24	81
2017010512	25	74
2017010513	25	78
2017010514	25	78
2017010515	25	78
2017010516	24	77
2017010517	24	74
2017010518	23	74
2017010519	24	71
2017010520	23	74
2017010521	22	75
2017010522	21	74
2017010523	20	77
2017010600	19	74
2017010601	18	71
2017010602	16	67
2017010603	16	71
2017010604	16	71
2017010605	16	67
2017010606	15	67
2017010607	14	64
2017010608	14	64
2017010609	14	61
2017010610	15	61
2017010611	16	59
2017010612	16	56
2017010613	17	54
2017010614	18	52
2017010615	18	47
2017010616	17	45
2017010617	17	49
2017010618	15	53
2017010619	14	56
2017010620	14	56
2017010621	14	51
2017010622	13	56
2017010623	12	56
2017010700	12	56
2017010701	12	56
2017010702	11	58
2017010703	11	58
2017010704	11	58
2017010705	10	61
2017010706	9	64
2017010707	9	64
2017010708	8	66
2017010709	9	64
2017010710	10	58
2017010711	11	53
2017010712	13	51
2017010713	14	47
2017010714	16	45
2017010715	17	43
